Name,ID,Software
M72 Loose Fit Drill,82,SW
M8 Loose Fit Drill,10,SW
M80 Loose Fit Drill,91,SW
M90 Loose Fit Drill,101,SW
#1-64 Helicoil Tap Drill,1.9939,SW
#10-24 Helicoil Tap Drill,5.15874,SW
#10-32 Helicoil Tap Drill,5.1054,SW
#12-24 Helicoil Tap Drill,5.7912,SW
#2-56 Helicoil Tap Drill,2.38252,SW
#2-64 Helicoil Tap Drill,2.38252,SW
#3-48 Helicoil Tap Drill,2.7051,SW
#3-56 Helicoil Tap Drill,2.6416,SW
#4-40 Helicoil Tap Drill,3.048,SW
#4-48 Helicoil Tap Drill,3.048,SW
#5-40 Helicoil Tap Drill,3.4544,SW
#6-32 Helicoil Tap Drill,3.7338,SW
#6-40 Helicoil Tap Drill,3.7338,SW
#8-32 Helicoil Tap Drill,4.3942,SW
#8-36 Helicoil Tap Drill,4.3942,SW
1in-12 Helicoil Tap Drill,25.79624,SW
1in-14 Helicoil Tap Drill,25.79624,SW
1in-8 Helicoil Tap Drill,26.19248,SW
1.5in-12 Helicoil Tap Drill,38.49624,SW
1.5in-6 Helicoil Tap Drill,39.29126,SW
1.25in-12 Helicoil Tap Drill,32.14624,SW
1.25in-7 Helicoil Tap Drill,32.94126,SW
1.125in-12 Helicoil Tap Drill,28.97124,SW
1.125in-7 Helicoil Tap Drill,29.76626,SW
1.375in-12 Helicoil Tap Drill,35.32124,SW
1.375in-6 Helicoil Tap Drill,36.11626,SW
0.5in-13 Helicoil Tap Drill,13.09624,SW
0.5in-20 Helicoil Tap Drill,13.09624,SW
0.25in-20 Helicoil Tap Drill,6.7564,SW
0.25in-28 Helicoil Tap Drill,6.6294,SW
0.75in-10 Helicoil Tap Drill,19.84248,SW
0.75in-16 Helicoil Tap Drill,19.44624,SW
0.375in-16 Helicoil Tap Drill,10.0838,SW
0.375in-24 Helicoil Tap Drill,9.92124,SW
0.3125in-18 Helicoil Tap Drill,8.4328,SW
0.3125in-24 Helicoil Tap Drill,8.33374,SW
0.625in-11 Helicoil Tap Drill,16.66748,SW
0.625in-18 Helicoil Tap Drill,16.27124,SW
0.4375in-14 Helicoil Tap Drill,11.50874,SW
0.4375in-20 Helicoil Tap Drill,11.50874,SW
0.875in-14 Helicoil Tap Drill,22.62124,SW
0.875in-9 Helicoil Tap Drill,23.01748,SW
0.5625in-12 Helicoil Tap Drill,14.68374,SW
0.5625in-18 Helicoil Tap Drill,14.68374,SW
#0-80 Tap Drill,1.19126,SW
#00-90 Tap Drill,0.9144,SW
#00-96 Tap Drill,0.9398,SW
#000-120 Tap Drill,0.6604,SW
#0000-160 Tap Drill,0.3683,SW
#1-64 Tap Drill,1.5113,SW
#1-72 Tap Drill,1.5113,SW
#10-24 Tap Drill,3.7973,SW
#10-32 Tap Drill,4.0386,SW
#12-24 Tap Drill,4.4958,SW
#12-28 Tap Drill,4.6228,SW
#2-56 Tap Drill,1.778,SW
#2-64 Tap Drill,1.778,SW
#3-48 Tap Drill,1.9939,SW
#3-56 Tap Drill,2.0828,SW
#4-40 Tap Drill,2.2606,SW
#4-48 Tap Drill,2.3749,SW
#5-40 Tap Drill,2.5781,SW
#5-44 Tap Drill,2.6416,SW
#6-32 Tap Drill,2.7051,SW
#6-40 Tap Drill,2.8702,SW
#8-32 Tap Drill,3.4544,SW
#8-36 Tap Drill,3.4544,SW
1-1/2-12 Tap Drill,36.11626,SW
1-1/2-6 Tap Drill,34.13252,SW
1-1/4-12 Tap Drill,29.76626,SW
1-1/4-7 Tap Drill,28.17876,SW
1-1/8-12 Tap Drill,26.59126,SW
1-1/8-7 Tap Drill,25.00376,SW
1in-12 Tap Drill,23.41626,SW
1in-14 Tap Drill,23.8125,SW
1-3/4-12 Tap Drill,42.5069,SW
1-3/4-16 Tap Drill,42.9895,SW
1-3/4-5 Tap Drill,39.6875,SW
1-3/8-12 Tap Drill,32.94126,SW
1-3/8-6 Tap Drill,30.95752,SW
1in-8 Tap Drill,22.225,SW
41276 Tap Drill,10.71626,SW
43832 Tap Drill,11.50874,SW
43834 Tap Drill,5.1054,SW
46756 Tap Drill,5.4102,SW
2-1/2-12 Tap Drill,61.849,SW
2-1/2-4 Tap Drill,57.3405,SW
2-1/4-12 Tap Drill,55.2069,SW
2-1/4-4.5 Tap Drill,51.7144,SW
2in-12 Tap Drill,48.8569,SW
2in-16 Tap Drill,49.3395,SW
2-3/4-12 Tap Drill,67.9069,SW
2-3/4-4 Tap Drill,63.6905,SW
2-4.5 Tap Drill,45.24248,SW
3-1/2-12 Tap Drill,86.9569,SW
3-1/2-4 Tap Drill,82.7405,SW
3-1/4-12 Tap Drill,80.6069,SW
3-1/4-4 Tap Drill,76.3905,SW
3in-12 Tap Drill,74.2569,SW
3-3/4-12 Tap Drill,93.3069,SW
3-3/4-4 Tap Drill,89.0905,SW
3in-4 Tap Drill,70.0405,SW
0.75in-10 Tap Drill,16.66748,SW
0.75in-16 Tap Drill,17.4625,SW
0.375in-16 Tap Drill,7.9375,SW
0.375in-24 Tap Drill,8.4328,SW
4in-12 Tap Drill,99.6569,SW
4in-4 Tap Drill,95.4405,SW
0.3125in-18 Tap Drill,6.5278,SW
0.3125in-24 Tap Drill,6.9088,SW
0.625in-11 Tap Drill,13.49248,SW
0.625in-18 Tap Drill,14.68374,SW
